method,size,range,distribution,ordered,time
quickSort,1000000,200000,zeros,True,0.587224006652832
mergeSort,1000000,200000,zeros,True,2.000079870223999
binarySort,1000000,200000,zeros,True,0.6538596153259277
quickSort,2000000,200000,zeros,True,1.2748866081237793
mergeSort,2000000,200000,zeros,True,4.266260147094727
binarySort,2000000,200000,zeros,True,1.3968431949615479
quickSort,3000000,200000,zeros,True,1.9349040985107422
mergeSort,3000000,200000,zeros,True,6.654330015182495
binarySort,3000000,200000,zeros,True,2.163733959197998
quickSort,4000000,200000,zeros,True,2.8325133323669434
mergeSort,4000000,200000,zeros,True,8.994314908981323
binarySort,4000000,200000,zeros,True,3.094346284866333
quickSort,5000000,200000,zeros,True,3.658735752105713
mergeSort,5000000,200000,zeros,True,11.581862449645996
binarySort,5000000,200000,zeros,True,3.9543330669403076
quickSort,6000000,200000,zeros,True,4.610662221908569
mergeSort,6000000,200000,zeros,True,14.046519041061401
binarySort,6000000,200000,zeros,True,4.534846544265747
quickSort,7000000,200000,zeros,True,5.578438758850098
mergeSort,7000000,200000,zeros,True,16.550225734710693
binarySort,7000000,200000,zeros,True,5.300474166870117
quickSort,8000000,200000,zeros,True,6.444610118865967
mergeSort,8000000,200000,zeros,True,19.091222047805786
binarySort,8000000,200000,zeros,True,6.022061109542847
quickSort,9000000,200000,zeros,True,7.394574165344238
mergeSort,9000000,200000,zeros,True,21.82093906402588
binarySort,9000000,200000,zeros,True,6.695658206939697
quickSort,10000000,200000,zeros,True,8.705500602722168
mergeSort,10000000,200000,zeros,True,24.455015420913696
binarySort,10000000,200000,zeros,True,7.51976752281189
quickSort,1000000,10000,right_skewed,True,0.8329493999481201
mergeSort,1000000,10000,right_skewed,True,2.135610342025757
binarySort,1000000,10000,right_skewed,True,0.550776481628418
quickSort,2000000,10000,right_skewed,True,1.8200337886810303
mergeSort,2000000,10000,right_skewed,True,4.559289216995239
binarySort,2000000,10000,right_skewed,True,1.2625958919525146
quickSort,3000000,10000,right_skewed,True,2.899860382080078
mergeSort,3000000,10000,right_skewed,True,7.111841201782227
binarySort,3000000,10000,right_skewed,True,1.9788732528686523
quickSort,4000000,10000,right_skewed,True,4.040639638900757
mergeSort,4000000,10000,right_skewed,True,9.825031042098999
binarySort,4000000,10000,right_skewed,True,2.5746424198150635
quickSort,5000000,10000,right_skewed,True,5.777341365814209
mergeSort,5000000,10000,right_skewed,True,12.571101903915405
binarySort,5000000,10000,right_skewed,True,3.2083399295806885
quickSort,6000000,10000,right_skewed,True,6.721553325653076
mergeSort,6000000,10000,right_skewed,True,15.184751272201538
binarySort,6000000,10000,right_skewed,True,3.796741008758545
quickSort,7000000,10000,right_skewed,True,8.640702962875366
mergeSort,7000000,10000,right_skewed,True,17.865293502807617
binarySort,7000000,10000,right_skewed,True,4.556870698928833
quickSort,8000000,10000,right_skewed,True,9.313703298568726
mergeSort,8000000,10000,right_skewed,True,20.531763315200806
binarySort,8000000,10000,right_skewed,True,5.0402467250823975
quickSort,9000000,10000,right_skewed,True,11.149391412734985
mergeSort,9000000,10000,right_skewed,True,23.45579242706299
binarySort,9000000,10000,right_skewed,True,5.7079918384552
quickSort,10000000,10000,right_skewed,True,11.926156520843506
mergeSort,10000000,10000,right_skewed,True,26.34411907196045
binarySort,10000000,10000,right_skewed,True,6.468973398208618
quickSort,1000000,50000,right_skewed,True,0.9534292221069336
mergeSort,1000000,50000,right_skewed,True,2.147343873977661
binarySort,1000000,50000,right_skewed,True,0.6275899410247803
quickSort,2000000,50000,right_skewed,True,2.1273305416107178
mergeSort,2000000,50000,right_skewed,True,4.570160865783691
binarySort,2000000,50000,right_skewed,True,1.4595057964324951
quickSort,3000000,50000,right_skewed,True,3.2538859844207764
mergeSort,3000000,50000,right_skewed,True,7.163813352584839
binarySort,3000000,50000,right_skewed,True,2.268134117126465
quickSort,4000000,50000,right_skewed,True,4.420018672943115
