method,size,range,distribution,ordered,time
binarySort,14000000,20000,bimodal,True,40.27884912490845
mergeSort,3000000,30000,bimodal,True,15.078491926193237
quickSort,14000000,20000,bimodal,True,69.50689125061035
binarySort,4000000,30000,bimodal,True,9.984361171722412
quickSort,4000000,30000,bimodal,True,17.23608660697937
mergeSort,4000000,30000,bimodal,True,20.329668045043945
mergeSort,14000000,20000,bimodal,True,83.06002926826477
binarySort,5000000,30000,bimodal,True,12.515191316604614
quickSort,5000000,30000,bimodal,True,21.939711093902588
mergeSort,5000000,30000,bimodal,True,26.678763389587402
binarySort,6000000,30000,bimodal,True,15.076798439025879
quickSort,6000000,30000,bimodal,True,26.978944063186646
mergeSort,6000000,30000,bimodal,True,32.13303089141846
binarySort,7000000,30000,bimodal,True,17.897176265716553
quickSort,7000000,30000,bimodal,True,34.54281425476074
mergeSort,7000000,30000,bimodal,True,38.10261535644531
binarySort,8000000,30000,bimodal,True,21.171453952789307
quickSort,8000000,30000,bimodal,True,36.51948952674866
mergeSort,8000000,30000,bimodal,True,43.76240420341492
binarySort,9000000,30000,bimodal,True,24.030149459838867
quickSort,9000000,30000,bimodal,True,42.91947889328003
